Web ID,Region of Incident,Reported Date,Reported Year,Reported Month,Number Dead,Minimum Estimated Number of Missing,Total Dead and Missing,Number of Survivors,Number of Females,Number of Males,Number of Children,Cause of Death Consolidated,Cause of Death,Information Source,Migration Route,UNSD Geographical Grouping,Source Quality,Lat,Long
52519,North Africa,29/10/2019,2019,Oct,4,1,5,29,,,,Unknown,Unknown,"Europa Press, EFE",Western African,Northern Africa,3,23.61295411,-21.13781073
52518,Mediterranean,28/10/2019,2019,Oct,1,,1,40,,1,1,Drowning,Drowning,IOM Turkey,,Western Africa,4,13.5115963,2.1253854
52515,Sub-Saharan Africa,28/10/2019,2019,Oct,1,,1,,,1,,Medical,Sickness,IOM Niger,Eastern Mediterranean,Uncategorized,4,39.47924928,26.56620562
52514,Mediterranean,27/10/2019,2019,Oct,1,,1,,,1,,Drowning,Drowning,"La Verdad, Las Provincias",Western Mediterranean,Uncategorized,3,37.41374928,-0.933957415
52513,North Africa,26/10/2019,2019,Oct,1,,1,,,1,1,Vehicle,Hit by truck,"Association Marocaine des Droits Humains - Section Nador, El Faro de Ceuta, Ariffino",,Northern Africa,4,35.1686165,-2.9275836
52517,US-Mexico Border,26/10/2019,2019,Oct,1,,1,,1,,,Accident,Injuries,US Border Patrol,,Northern America,5,31.59223913,-111.1148936
52512,Mediterranean,23/10/2019,2019,Oct,1,1,2,32,,1,1,Medical,Collision,Hellenic Coast Guard via IOM Greece,,Western Europe,5,51.47838536,0.268362366
52511,Europe,23/10/2019,2019,Oct,39,,39,,8,31,1,Suffocation,Suffocation,Essex Police,Eastern Mediterranean,Uncategorized,5,36.91937507,27.3080169
52509,US-Mexico Border,22/10/2019,2019,Oct,1,,1,,,1,,Drowning,Drowning,"Zócalo, La Rancherita del Aire",,Central America,3,28.34020813,-100.3104396
52510,Central America,22/10/2019,2019,Oct,1,,1,2,,1,,Vehicle,Vehicle Accident,"El Imparcial, Excélsior",,Central America,3,29.2371924,-110.9301319
52507,US-Mexico Border,21/10/2019,2019,Oct,2,,2,,,2,,Drowning,Drowning,"Hoy Tamaulipas, Vox Pópuli",,Central America,3,26.39102596,-98.9894934
